timeindex,wind-profile-UZ,pv-profile-UZ,wind-profile-KA,pv-profile-KA
2019-01-02T12:00:00Z,0.026,0.801,0.033,0.391
2019-01-02T13:00:00Z,0.053,0.771,0.014,0.392
2019-01-02T14:00:00Z,0.118,0.668,0.005,0.319
2019-01-02T15:00:00Z,0.228,0.484,0.002,0.179
2019-01-02T16:00:00Z,0.349,0.204,0.002,0.053
2019-01-02T17:00:00Z,0.431,0,0.002,0
2019-01-02T18:00:00Z,0.453,0,0.003,0
2019-01-02T19:00:00Z,0.376,0,0.006,0
2019-01-02T20:00:00Z,0.255,0,0.011,0
2019-01-02T21:00:00Z,0.148,0,0.019,0
2019-01-02T22:00:00Z,0.094,0,0.029,0
2019-01-02T23:00:00Z,0.057,0,0.037,0
2019-01-03T00:00:00Z,0.036,0,0.043,0
2019-01-03T01:00:00Z,0.038,0,0.056,0
2019-01-03T02:00:00Z,0.049,0,0.079,0
2019-01-03T03:00:00Z,0.061,0,0.103,0
2019-01-03T04:00:00Z,0.048,0,0.131,0
2019-01-03T05:00:00Z,0.015,0,0.159,0
2019-01-03T06:00:00Z,0.002,0,0.185,0
2019-01-03T07:00:00Z,0.003,0,0.209,0
2019-01-03T08:00:00Z,0.005,0.13,0.23,0
2019-01-03T09:00:00Z,0.002,0.396,0.224,0.014
2019-01-03T10:00:00Z,0.003,0.602,0.164,0.155
2019-01-03T11:00:00Z,0.063,0.721,0.059,0.324
2019-01-03T12:00:00Z,0.323,0.761,0.02,0.438
2019-01-03T13:00:00Z,0.71,0.732,0.024,0.46
2019-01-03T14:00:00Z,0.818,0.633,0.033,0.382
2019-01-03T15:00:00Z,0.745,0.453,0.064,0.229
2019-01-03T16:00:00Z,0.697,0.183,0.123,0.068
2019-01-03T17:00:00Z,0.719,0,0.258,0
2019-01-03T18:00:00Z,0.773,0,0.445,0
2019-01-03T19:00:00Z,0.752,0,0.575,0
2019-01-03T20:00:00Z,0.697,0,0.623,0
2019-01-03T21:00:00Z,0.697,0,0.591,0
2019-01-03T22:00:00Z,0.725,0,0.507,0
2019-01-03T23:00:00Z,0.766,0,0.406,0
2019-01-04T00:00:00Z,0.812,0,0.326,0
2019-01-04T01:00:00Z,0.824,0,0.28,0
2019-01-04T02:00:00Z,0.811,0,0.282,0
2019-01-04T03:00:00Z,0.797,0,0.304,0
2019-01-04T04:00:00Z,0.727,0,0.333,0
2019-01-04T05:00:00Z,0.626,0,0.367,0
2019-01-04T06:00:00Z,0.63,0,0.392,0
2019-01-04T07:00:00Z,0.766,0,0.394,0
2019-01-04T08:00:00Z,0.741,0.002,0.373,0
2019-01-04T09:00:00Z,0.744,0.026,0.357,0.016
2019-01-04T10:00:00Z,0.742,0.067,0.283,0.16
2019-01-04T11:00:00Z,0.723,0.119,0.123,0.327
2019-01-04T12:00:00Z,0.757,0.214,0.064,0.433
2019-01-04T13:00:00Z,0.728,0.279,0.05,0.441
2019-01-04T14:00:00Z,0.662,0.2,0.043,0.367
2019-01-04T15:00:00Z,0.617,0.103,0.048,0.218
2019-01-04T16:00:00Z,0.574,0.018,0.067,0.069
2019-01-04T17:00:00Z,0.512,0,0.125,0
2019-01-04T18:00:00Z,0.455,0,0.194,0
2019-01-04T19:00:00Z,0.419,0,0.244,0
2019-01-04T20:00:00Z,0.394,0,0.266,0
2019-01-04T21:00:00Z,0.361,0,0.279,0
2019-01-04T22:00:00Z,0.311,0,0.252,0
2019-01-04T23:00:00Z,0.244,0,0.214,0
2019-01-05T00:00:00Z,0.201,0,0.175,0
2019-01-05T01:00:00Z,0.18,0,0.14,0
2019-01-05T02:00:00Z,0.163,0,0.101,0
2019-01-05T03:00:00Z,0.135,0,0.053,0
2019-01-05T04:00:00Z,0.077,0,0.02,0
2019-01-05T05:00:00Z,0.049,0,0.009,0
2019-01-05T06:00:00Z,0.062,0,0.006,0
2019-01-05T07:00:00Z,0.058,0,0.017,0
2019-01-05T08:00:00Z,0.059,0.007,0.047,0
2019-01-05T09:00:00Z,0.06,0.062,0.071,0.007
2019-01-05T10:00:00Z,0.056,0.153,0.054,0.093
2019-01-05T11:00:00Z,0.034,0.237,0.021,0.207
2019-01-05T12:00:00Z,0.025,0.276,0.011,0.291
2019-01-05T13:00:00Z,0.087,0.263,0.011,0.308
2019-01-05T14:00:00Z,0.291,0.233,0.017,0.265
2019-01-05T15:00:00Z,0.543,0.157,0.024,0.174
2019-01-05T16:00:00Z,0.679,0.054,0.029,0.063
2019-01-05T17:00:00Z,0.705,0,0.047,0
2019-01-05T18:00:00Z,0.695,0,0.07,0
2019-01-05T19:00:00Z,0.665,0,0.121,0
2019-01-05T20:00:00Z,0.645,0,0.219,0
2019-01-05T21:00:00Z,0.64,0,0.387,0
2019-01-05T22:00:00Z,0.626,0,0.627,0
2019-01-05T23:00:00Z,0.6,0,0.801,0
2019-01-06T00:00:00Z,0.568,0,0.871,0
2019-01-06T01:00:00Z,0.563,0,0.878,0
2019-01-06T02:00:00Z,0.577,0,0.831,0
2019-01-06T03:00:00Z,0.558,0,0.747,0
2019-01-06T04:00:00Z,0.51,0,0.697,0
2019-01-06T05:00:00Z,0.474,0,0.69,0
2019-01-06T06:00:00Z,0.499,0,0.674,0
2019-01-06T07:00:00Z,0.53,0,0.641,0
2019-01-06T08:00:00Z,0.557,0.188,0.617,0
2019-01-06T09:00:00Z,0.578,0.466,0.63,0.009
2019-01-06T10:00:00Z,0.6,0.664,0.624,0.108
2019-01-06T11:00:00Z,0.807,0.775,0.596,0.232
2019-01-06T12:00:00Z,0.939,0.81,0.589,0.312
2019-01-06T13:00:00Z,0.967,0.781,0.605,0.322
2019-01-06T14:00:00Z,0.965,0.679,0.635,0.271
2019-01-06T15:00:00Z,0.954,0.502,0.676,0.17
2019-01-06T16:00:00Z,0.941,0.229,0.727,0.05
2019-01-06T17:00:00Z,0.927,0,0.795,0
2019-01-06T18:00:00Z,0.913,0,0.838,0
2019-01-06T19:00:00Z,0.895,0,0.865,0
2019-01-06T20:00:00Z,0.891,0,0.884,0
2019-01-06T21:00:00Z,0.891,0,0.877,0
2019-01-06T22:00:00Z,0.889,0,0.859,0
2019-01-06T23:00:00Z,0.876,0,0.835,0
2019-01-07T00:00:00Z,0.86,0,0.806,0
2019-01-07T01:00:00Z,0.883,0,0.78,0
2019-01-07T02:00:00Z,0.902,0,0.759,0
2019-01-07T03:00:00Z,0.908,0,0.763,0
2019-01-07T04:00:00Z,0.863,0,0.763,0
2019-01-07T05:00:00Z,0.787,0,0.752,0
2019-01-07T06:00:00Z,0.711,0,0.75,0
2019-01-07T07:00:00Z,0.573,0,0.746,0
2019-01-07T08:00:00Z,0.55,0.025,0.741,0
2019-01-07T09:00:00Z,0.604,0.144,0.721,0.011
2019-01-07T10:00:00Z,0.682,0.377,0.664,0.113
2019-01-07T11:00:00Z,0.837,0.482,0.607,0.273
2019-01-07T12:00:00Z,0.924,0.482,0.522,0.456
2019-01-07T13:00:00Z,0.957,0.404,0.443,0.501
2019-01-07T14:00:00Z,0.965,0.267,0.394,0.42
2019-01-07T15:00:00Z,0.96,0.153,0.314,0.221
2019-01-07T16:00:00Z,0.951,0.05,0.26,0.048
2019-01-07T17:00:00Z,0.944,0,0.27,0
2019-01-07T18:00:00Z,0.944,0,0.279,0
2019-01-07T19:00:00Z,0.912,0,0.267,0
2019-01-07T20:00:00Z,0.838,0,0.249,0
2019-01-07T21:00:00Z,0.93,0,0.248,0
2019-01-07T22:00:00Z,0.89,0,0.257,0
2019-01-07T23:00:00Z,0.841,0,0.238,0
2019-01-08T00:00:00Z,0.789,0,0.211,0
2019-01-08T01:00:00Z,0.757,0,0.201,0
2019-01-08T02:00:00Z,0.738,0,0.226,0
2019-01-08T03:00:00Z,0.716,0,0.27,0
2019-01-08T04:00:00Z,0.705,0,0.291,0
2019-01-08T05:00:00Z,0.708,0,0.257,0
2019-01-08T06:00:00Z,0.755,0,0.164,0
2019-01-08T07:00:00Z,0.849,0,0.089,0
2019-01-08T08:00:00Z,0.891,0.009,0.06,0
2019-01-08T09:00:00Z,0.923,0.042,0.051,0.003
2019-01-08T10:00:00Z,0.916,0.108,0.035,0.04
2019-01-08T11:00:00Z,0.902,0.328,0.02,0.086
2019-01-08T12:00:00Z,0.901,0.436,0.012,0.121
2019-01-08T13:00:00Z,0.877,0.388,0.006,0.132
2019-01-08T14:00:00Z,0.857,0.247,0.003,0.112
2019-01-08T15:00:00Z,0.806,0.103,0.002,0.065
2019-01-08T16:00:00Z,0.738,0.028,0.004,0.018
2019-01-08T17:00:00Z,0.66,0,0.028,0
2019-01-08T18:00:00Z,0.594,0,0.112,0
2019-01-08T19:00:00Z,0.513,0,0.279,0
2019-01-08T20:00:00Z,0.425,0,0.425,0
2019-01-08T21:00:00Z,0.364,0,0.46,0
2019-01-08T22:00:00Z,0.39,0,0.525,0
2019-01-08T23:00:00Z,0.452,0,0.632,0
2019-01-09T00:00:00Z,0.504,0,0.71,0
2019-01-09T01:00:00Z,0.514,0,0.79,0
2019-01-09T02:00:00Z,0.468,0,0.879,0
2019-01-09T03:00:00Z,0.327,0,0.921,0
2019-01-09T04:00:00Z,0.11,0,0.942,0
2019-01-09T05:00:00Z,0.088,0,0.936,0
2019-01-09T06:00:00Z,0.085,0,0.925,0
2019-01-09T07:00:00Z,0.052,0,0.913,0
2019-01-09T08:00:00Z,0.021,0.092,0.901,0
2019-01-09T09:00:00Z,0.002,0.343,0.886,0.026
2019-01-09T10:00:00Z,0.009,0.65,0.84,0.288
2019-01-09T11:00:00Z,0.217,0.751,0.78,0.394
2019-01-09T12:00:00Z,0.685,0.773,0.822,0.369
2019-01-09T13:00:00Z,0.893,0.735,0.847,0.326
2019-01-09T14:00:00Z,0.935,0.644,0.836,0.277
2019-01-09T15:00:00Z,0.937,0.467,0.799,0.183
2019-01-09T16:00:00Z,0.934,0.2,0.714,0.06
2019-01-09T17:00:00Z,0.934,0,0.688,0
2019-01-09T18:00:00Z,0.934,0,0.738,0
2019-01-09T19:00:00Z,0.931,0,0.752,0
2019-01-09T20:00:00Z,0.929,0,0.73,0
2019-01-09T21:00:00Z,0.934,0,0.689,0
2019-01-09T22:00:00Z,0.917,0,0.65,0
2019-01-09T23:00:00Z,0.914,0,0.619,0
2019-01-10T00:00:00Z,0.924,0,0.576,0
2019-01-10T01:00:00Z,0.926,0,0.533,0
2019-01-10T02:00:00Z,0.915,0,0.47,0
2019-01-10T03:00:00Z,0.909,0,0.401,0
2019-01-10T04:00:00Z,0.893,0,0.33,0
2019-01-10T05:00:00Z,0.929,0,0.254,0
2019-01-10T06:00:00Z,0.942,0,0.175,0
2019-01-10T07:00:00Z,0.95,0,0.102,0
2019-01-10T08:00:00Z,0.947,0.014,0.054,0
2019-01-10T09:00:00Z,0.936,0.079,0.022,0.045
2019-01-10T10:00:00Z,0.887,0.213,0.008,0.267
2019-01-10T11:00:00Z,0.876,0.447,0.001,0.402
2019-01-10T12:00:00Z,0.934,0.569,0,0.445
2019-01-10T13:00:00Z,0.937,0.551,0,0.398
2019-01-10T14:00:00Z,0.917,0.474,0,0.318
2019-01-10T15:00:00Z,0.884,0.324,0,0.23
2019-01-10T16:00:00Z,0.832,0.113,0.003,0.103
2019-01-10T17:00:00Z,0.789,0,0.014,0
2019-01-10T18:00:00Z,0.735,0,0.034,0
2019-01-10T19:00:00Z,0.617,0,0.065,0
2019-01-10T20:00:00Z,0.401,0,0.103,0
2019-01-10T21:00:00Z,0.251,0,0.161,0
2019-01-10T22:00:00Z,0.261,0,0.238,0
2019-01-10T23:00:00Z,0.302,0,0.308,0
2019-01-11T00:00:00Z,0.3,0,0.346,0
2019-01-11T01:00:00Z,0.246,0,0.333,0
2019-01-11T02:00:00Z,0.178,0,0.277,0
2019-01-11T03:00:00Z,0.133,0,0.205,0
2019-01-11T04:00:00Z,0.154,0,0.157,0
2019-01-11T05:00:00Z,0.162,0,0.149,0
2019-01-11T06:00:00Z,0.14,0,0.177,0
2019-01-11T07:00:00Z,0.121,0,0.226,0
2019-01-11T08:00:00Z,0.106,0.003,0.27,0
2019-01-11T09:00:00Z,0.075,0.025,0.297,0.031
2019-01-11T10:00:00Z,0.039,0.047,0.256,0.182
2019-01-11T11:00:00Z,0.032,0.062,0.112,0.302
2019-01-11T12:00:00Z,0.036,0.073,0.034,0.399
2019-01-11T13:00:00Z,0.043,0.076,0.013,0.449
2019-01-11T14:00:00Z,0.045,0.065,0.004,0.389
2019-01-11T15:00:00Z,0.052,0.044,0,0.228
2019-01-11T16:00:00Z,0.076,0.016,0,0.063
2019-01-11T17:00:00Z,0.118,0,0,0
2019-01-11T18:00:00Z,0.174,0,0,0
2019-01-11T19:00:00Z,0.248,0,0,0
2019-01-11T20:00:00Z,0.307,0,0,0
2019-01-11T21:00:00Z,0.286,0,0.005,0
2019-01-11T22:00:00Z,0.234,0,0.025,0
2019-01-11T23:00:00Z,0.208,0,0.08,0
2019-01-12T00:00:00Z,0.196,0,0.18,0
2019-01-12T01:00:00Z,0.171,0,0.317,0
2019-01-12T02:00:00Z,0.141,0,0.435,0
2019-01-12T03:00:00Z,0.122,0,0.439,0
2019-01-12T04:00:00Z,0.113,0,0.317,0
2019-01-12T05:00:00Z,0.14,0,0.21,0
2019-01-12T06:00:00Z,0.224,0,0.215,0
2019-01-12T07:00:00Z,0.293,0,0.271,0
2019-01-12T08:00:00Z,0.323,0.063,0.343,0
2019-01-12T09:00:00Z,0.304,0.279,0.426,0.025
2019-01-12T10:00:00Z,0.289,0.632,0.424,0.168
2019-01-12T11:00:00Z,0.359,0.755,0.373,0.299
2019-01-12T12:00:00Z,0.521,0.804,0.333,0.324
2019-01-12T13:00:00Z,0.652,0.774,0.316,0.263
2019-01-12T14:00:00Z,0.719,0.674,0.31,0.194
2019-01-12T15:00:00Z,0.784,0.487,0.331,0.112
2019-01-12T16:00:00Z,0.849,0.206,0.358,0.04
2019-01-12T17:00:00Z,0.873,0.001,0.484,0
2019-01-12T18:00:00Z,0.882,0,0.68,0
2019-01-12T19:00:00Z,0.892,0,0.793,0
2019-01-12T20:00:00Z,0.889,0,0.812,0
2019-01-12T21:00:00Z,0.877,0,0.75,0
2019-01-12T22:00:00Z,0.864,0,0.668,0
2019-01-12T23:00:00Z,0.849,0,0.637,0
2019-01-13T00:00:00Z,0.84,0,0.63,0
2019-01-13T01:00:00Z,0.847,0,0.639,0
2019-01-13T02:00:00Z,0.859,0,0.658,0
2019-01-13T03:00:00Z,0.864,0,0.689,0
2019-01-13T04:00:00Z,0.81,0,0.708,0
2019-01-13T05:00:00Z,0.749,0,0.728,0
2019-01-13T06:00:00Z,0.751,0,0.772,0
2019-01-13T07:00:00Z,0.88,0,0.814,0
2019-01-13T08:00:00Z,0.925,0.175,0.833,0
2019-01-13T09:00:00Z,0.913,0.427,0.841,0.023
2019-01-13T10:00:00Z,0.914,0.595,0.831,0.149
2019-01-13T11:00:00Z,0.952,0.677,0.863,0.271
2019-01-13T12:00:00Z,0.969,0.709,0.89,0.305
2019-01-13T13:00:00Z,0.971,0.698,0.897,0.312
2019-01-13T14:00:00Z,0.971,0.642,0.884,0.325
2019-01-13T15:00:00Z,0.969,0.43,0.812,0.266
2019-01-13T16:00:00Z,0.97,0.108,0.845,0.098
2019-01-13T17:00:00Z,0.971,0,0.916,0
2019-01-13T18:00:00Z,0.97,0,0.945,0
2019-01-13T19:00:00Z,0.964,0,0.953,0
2019-01-13T20:00:00Z,0.955,0,0.957,0
2019-01-13T21:00:00Z,0.948,0,0.958,0
2019-01-13T22:00:00Z,0.94,0,0.955,0
2019-01-13T23:00:00Z,0.93,0,0.947,0
2019-01-14T00:00:00Z,0.924,0,0.942,0
2019-01-14T01:00:00Z,0.926,0,0.939,0
2019-01-14T02:00:00Z,0.937,0,0.935,0
2019-01-14T03:00:00Z,0.947,0,0.929,0
2019-01-14T04:00:00Z,0.932,0,0.923,0
2019-01-14T05:00:00Z,0.957,0,0.917,0
2019-01-14T06:00:00Z,0.954,0,0.916,0
2019-01-14T07:00:00Z,0.965,0,0.921,0
2019-01-14T08:00:00Z,0.971,0.022,0.931,0
2019-01-14T09:00:00Z,0.973,0.099,0.943,0.019
2019-01-14T10:00:00Z,0.961,0.16,0.947,0.117
2019-01-14T11:00:00Z,0.939,0.213,0.947,0.2
2019-01-14T12:00:00Z,0.935,0.295,0.947,0.207
2019-01-14T13:00:00Z,0.923,0.281,0.948,0.171
2019-01-14T14:00:00Z,0.907,0.33,0.947,0.121
2019-01-14T15:00:00Z,0.936,0.309,0.942,0.077
2019-01-14T16:00:00Z,0.959,0.121,0.934,0.024
2019-01-14T17:00:00Z,0.9,0,0.929,0
2019-01-14T18:00:00Z,0.818,0,0.923,0
2019-01-14T19:00:00Z,0.8,0,0.914,0
2019-01-14T20:00:00Z,0.782,0,0.893,0
2019-01-14T21:00:00Z,0.778,0,0.869,0
2019-01-14T22:00:00Z,0.802,0,0.85,0
2019-01-14T23:00:00Z,0.843,0,0.848,0
2019-01-15T00:00:00Z,0.828,0,0.839,0
2019-01-15T01:00:00Z,0.804,0,0.822,0
2019-01-15T02:00:00Z,0.794,0,0.772,0
2019-01-15T03:00:00Z,0.763,0,0.678,0
2019-01-15T04:00:00Z,0.667,0,0.626,0
2019-01-15T05:00:00Z,0.698,0,0.498,0
2019-01-15T06:00:00Z,0.713,0,0.29,0
2019-01-15T07:00:00Z,0.745,0,0.145,0
2019-01-15T08:00:00Z,0.747,0.018,0.051,0
2019-01-15T09:00:00Z,0.713,0.056,0.016,0.031
2019-01-15T10:00:00Z,0.66,0.111,0.017,0.21
2019-01-15T11:00:00Z,0.621,0.122,0.034,0.364
2019-01-15T12:00:00Z,0.643,0.117,0.041,0.434
2019-01-15T13:00:00Z,0.577,0.118,0.058,0.43
2019-01-15T14:00:00Z,0.421,0.108,0.08,0.341
2019-01-15T15:00:00Z,0.249,0.067,0.119,0.195
2019-01-15T16:00:00Z,0.127,0.021,0.221,0.056
2019-01-15T17:00:00Z,0.059,0,0.429,0
2019-01-15T18:00:00Z,0.023,0,0.584,0
2019-01-15T19:00:00Z,0.004,0,0.602,0
2019-01-15T20:00:00Z,0,0,0.564,0
2019-01-15T21:00:00Z,0.001,0,0.502,0
2019-01-15T22:00:00Z,0.003,0,0.439,0
2019-01-15T23:00:00Z,0.004,0,0.385,0
2019-01-16T00:00:00Z,0.006,0,0.336,0
2019-01-16T01:00:00Z,0.016,0,0.3,0
2019-01-16T02:00:00Z,0.032,0,0.279,0
2019-01-16T03:00:00Z,0.049,0,0.262,0
2019-01-16T04:00:00Z,0.029,0,0.256,0
2019-01-16T05:00:00Z,0.021,0,0.267,0
2019-01-16T06:00:00Z,0.02,0,0.302,0
2019-01-16T07:00:00Z,0.017,0,0.342,0
2019-01-16T08:00:00Z,0.014,0.118,0.354,0
2019-01-16T09:00:00Z,0.013,0.392,0.326,0.033
2019-01-16T10:00:00Z,0.019,0.603,0.232,0.177
2019-01-16T11:00:00Z,0.066,0.738,0.081,0.323
2019-01-16T12:00:00Z,0.212,0.783,0.02,0.421
2019-01-16T13:00:00Z,0.489,0.754,0.009,0.455
2019-01-16T14:00:00Z,0.713,0.658,0.006,0.392
2019-01-16T15:00:00Z,0.803,0.479,0.004,0.252
2019-01-16T16:00:00Z,0.841,0.212,0.005,0.084
2019-01-16T17:00:00Z,0.865,0.003,0.011,0
2019-01-16T18:00:00Z,0.879,0,0.021,0
2019-01-16T19:00:00Z,0.878,0,0.025,0
2019-01-16T20:00:00Z,0.867,0,0.026,0
2019-01-16T21:00:00Z,0.845,0,0.039,0
2019-01-16T22:00:00Z,0.821,0,0.069,0
2019-01-16T23:00:00Z,0.801,0,0.098,0
2019-01-17T00:00:00Z,0.808,0,0.103,0
2019-01-17T01:00:00Z,0.824,0,0.093,0
2019-01-17T02:00:00Z,0.837,0,0.087,0
2019-01-17T03:00:00Z,0.865,0,0.123,0
2019-01-17T04:00:00Z,0.877,0,0.225,0
2019-01-17T05:00:00Z,0.886,0,0.32,0
2019-01-17T06:00:00Z,0.904,0,0.342,0
2019-01-17T07:00:00Z,0.899,0,0.294,0
2019-01-17T08:00:00Z,0.92,0.183,0.263,0
2019-01-17T09:00:00Z,0.918,0.454,0.279,0.04
2019-01-17T10:00:00Z,0.918,0.595,0.3,0.207
2019-01-17T11:00:00Z,0.972,0.656,0.248,0.406
2019-01-17T12:00:00Z,0.949,0.642,0.176,0.536
2019-01-17T13:00:00Z,0.931,0.589,0.158,0.657
2019-01-17T14:00:00Z,0.944,0.524,0.171,0.624
2019-01-17T15:00:00Z,0.956,0.4,0.274,0.472
2019-01-17T16:00:00Z,0.966,0.141,0.512,0.211
2019-01-17T17:00:00Z,0.967,0.001,0.735,0.002
2019-01-17T18:00:00Z,0.974,0,0.849,0
2019-01-17T19:00:00Z,0.973,0,0.893,0
2019-01-17T20:00:00Z,0.974,0,0.879,0
2019-01-17T21:00:00Z,0.973,0,0.792,0
2019-01-17T22:00:00Z,0.974,0,0.737,0
2019-01-17T23:00:00Z,0.974,0,0.746,0
2019-01-18T00:00:00Z,0.97,0,0.774,0
2019-01-18T01:00:00Z,0.973,0,0.797,0
2019-01-18T02:00:00Z,0.973,0,0.802,0
2019-01-18T03:00:00Z,0.972,0,0.783,0
2019-01-18T04:00:00Z,0.972,0,0.752,0
2019-01-18T05:00:00Z,0.972,0,0.717,0
2019-01-18T06:00:00Z,0.966,0,0.683,0
2019-01-18T07:00:00Z,0.931,0,0.654,0
2019-01-18T08:00:00Z,0.949,0.018,0.632,0
2019-01-18T09:00:00Z,0.97,0.095,0.609,0.014
2019-01-18T10:00:00Z,0.973,0.252,0.547,0.119
2019-01-18T11:00:00Z,0.974,0.545,0.506,0.385
2019-01-18T12:00:00Z,0.968,0.56,0.592,0.576
2019-01-18T13:00:00Z,0.96,0.302,0.627,0.528
2019-01-18T14:00:00Z,0.951,0.242,0.533,0.552
2019-01-18T15:00:00Z,0.957,0.28,0.495,0.396
2019-01-18T16:00:00Z,0.966,0.12,0.6,0.104
2019-01-18T17:00:00Z,0.974,0.001,0.751,0
2019-01-18T18:00:00Z,0.965,0,0.828,0
2019-01-18T19:00:00Z,0.943,0,0.854,0
2019-01-18T20:00:00Z,0.924,0,0.859,0
2019-01-18T21:00:00Z,0.929,0,0.849,0
2019-01-18T22:00:00Z,0.94,0,0.83,0
2019-01-18T23:00:00Z,0.939,0,0.808,0
2019-01-19T00:00:00Z,0.936,0,0.785,0
2019-01-19T01:00:00Z,0.921,0,0.751,0
2019-01-19T02:00:00Z,0.9,0,0.728,0
2019-01-19T03:00:00Z,0.847,0,0.721,0
2019-01-19T04:00:00Z,0.905,0,0.738,0
2019-01-19T05:00:00Z,0.935,0,0.758,0
2019-01-19T06:00:00Z,0.942,0,0.776,0
2019-01-19T07:00:00Z,0.947,0,0.794,0
2019-01-19T08:00:00Z,0.944,0.106,0.794,0
2019-01-19T09:00:00Z,0.932,0.353,0.755,0.014
2019-01-19T10:00:00Z,0.91,0.566,0.667,0.065
2019-01-19T11:00:00Z,0.838,0.702,0.553,0.104
2019-01-19T12:00:00Z,0.745,0.742,0.477,0.128
2019-01-19T13:00:00Z,0.712,0.666,0.513,0.12
2019-01-19T14:00:00Z,0.728,0.522,0.593,0.07
2019-01-19T15:00:00Z,0.778,0.309,0.672,0.042
2019-01-19T16:00:00Z,0.81,0.076,0.754,0.026
2019-01-19T17:00:00Z,0.818,0,0.818,0
2019-01-19T18:00:00Z,0.821,0,0.866,0
2019-01-19T19:00:00Z,0.822,0,0.864,0
2019-01-19T20:00:00Z,0.859,0,0.847,0
2019-01-19T21:00:00Z,0.849,0,0.849,0
2019-01-19T22:00:00Z,0.775,0,0.872,0
2019-01-19T23:00:00Z,0.728,0,0.851,0
2019-01-20T00:00:00Z,0.806,0,0.842,0
2019-01-20T01:00:00Z,0.842,0,0.824,0
2019-01-20T02:00:00Z,0.85,0,0.795,0
2019-01-20T03:00:00Z,0.829,0,0.771,0
2019-01-20T04:00:00Z,0.881,0,0.731,0
2019-01-20T05:00:00Z,0.912,0,0.679,0
2019-01-20T06:00:00Z,0.921,0,0.615,0
2019-01-20T07:00:00Z,0.935,0,0.557,0
2019-01-20T08:00:00Z,0.941,0.013,0.469,0
2019-01-20T09:00:00Z,0.943,0.075,0.314,0.015
2019-01-20T10:00:00Z,0.939,0.18,0.213,0.107
2019-01-20T11:00:00Z,0.915,0.256,0.157,0.166
2019-01-20T12:00:00Z,0.857,0.224,0.093,0.122
2019-01-20T13:00:00Z,0.809,0.232,0.06,0.149
2019-01-20T14:00:00Z,0.785,0.203,0.066,0.271
2019-01-20T15:00:00Z,0.772,0.134,0.086,0.164
2019-01-20T16:00:00Z,0.781,0.039,0.144,0.049
2019-01-20T17:00:00Z,0.773,0,0.266,0
2019-01-20T18:00:00Z,0.778,0,0.437,0
2019-01-20T19:00:00Z,0.799,0,0.586,0
2019-01-20T20:00:00Z,0.806,0,0.601,0
2019-01-20T21:00:00Z,0.775,0,0.539,0
2019-01-20T22:00:00Z,0.713,0,0.438,0
2019-01-20T23:00:00Z,0.693,0,0.334,0
2019-01-21T00:00:00Z,0.648,0,0.315,0
2019-01-21T01:00:00Z,0.628,0,0.346,0
2019-01-21T02:00:00Z,0.632,0,0.435,0
2019-01-21T03:00:00Z,0.594,0,0.583,0
2019-01-21T04:00:00Z,0.594,0,0.688,0
2019-01-21T05:00:00Z,0.644,0,0.758,0
2019-01-21T06:00:00Z,0.659,0,0.831,0
2019-01-21T07:00:00Z,0.64,0,0.884,0
2019-01-21T08:00:00Z,0.59,0.07,0.881,0
2019-01-21T09:00:00Z,0.509,0.212,0.833,0.026
