timeindex,ghi-profile,elec-profile,water-profile
2022-01-10T10:00:00Z,498.86356,1,1
2022-01-10T11:00:00Z,670.2658,1,1
2022-01-10T12:00:00Z,767.60986,1,1
2022-01-10T13:00:00Z,820.0398,1,1
2022-01-10T14:00:00Z,776.0939,1,1
2022-01-10T15:00:00Z,651.1154,1,1
2022-01-10T16:00:00Z,464.53387,1,1
2022-01-10T17:00:00Z,248.61128,1,1
2022-01-10T18:00:00Z,50.920208,1,1
2022-01-10T19:00:00Z,0.0,1,1
2022-01-10T20:00:00Z,0.0,1,1
2022-01-10T21:00:00Z,0.0,1,1
2022-01-10T22:00:00Z,0.0,1,1
2022-01-10T23:00:00Z,0.0,1,1
2022-01-11T00:00:00Z,0.0,1,1
2022-01-11T01:00:00Z,0.0,1,1
2022-01-11T02:00:00Z,0.0,1,1
2022-01-11T03:00:00Z,0.0,1,1
2022-01-11T04:00:00Z,0.0,1,1
2022-01-11T05:00:00Z,0.0,1,1
2022-01-11T06:00:00Z,0.0,1,1
2022-01-11T07:00:00Z,1.9528126,1,1
2022-01-11T08:00:00Z,88.56469,1,1
2022-01-11T09:00:00Z,267.81097,1,1
2022-01-11T10:00:00Z,472.5255,1,1
2022-01-11T11:00:00Z,692.485,1,1
2022-01-11T12:00:00Z,764.6889,1,1
2022-01-11T13:00:00Z,825.63556,1,1
2022-01-11T14:00:00Z,769.3001,1,1
2022-01-11T15:00:00Z,646.60266,1,1
2022-01-11T16:00:00Z,430.237,1,1
2022-01-11T17:00:00Z,210.21191,1,1
2022-01-11T18:00:00Z,42.354168,1,1
2022-01-11T19:00:00Z,0.0,1,1
2022-01-11T20:00:00Z,0.0,1,1
2022-01-11T21:00:00Z,0.0,1,1
2022-01-11T22:00:00Z,0.0,1,1
2022-01-11T23:00:00Z,0.0,1,1
2022-01-12T00:00:00Z,0.0,1,1
2022-01-12T01:00:00Z,0.0,1,1
2022-01-12T02:00:00Z,0.0,1,1
2022-01-12T03:00:00Z,0.0,1,1
2022-01-12T04:00:00Z,0.0,1,1
2022-01-12T05:00:00Z,0.0,1,1
2022-01-12T06:00:00Z,0.0,1,1
2022-01-12T07:00:00Z,1.9692014,1,1
2022-01-12T08:00:00Z,105.94288,1,1
2022-01-12T09:00:00Z,317.61526,1,1
2022-01-12T10:00:00Z,525.6775,1,1
2022-01-12T11:00:00Z,685.6912,1,1
2022-01-12T12:00:00Z,788.9101,1,1
2022-01-12T13:00:00Z,815.1168,1,1
2022-01-12T14:00:00Z,761.01306,1,1
2022-01-12T15:00:00Z,627.8624,1,1
2022-01-12T16:00:00Z,462.86008,1,1
2022-01-12T17:00:00Z,246.47798,1,1
2022-01-12T18:00:00Z,52.232986,1,1
2022-01-12T19:00:00Z,0.0,1,1
