bus,direction,asset,carrier,facade_type,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,investments,flow_min,flow_max,aggregated_flow,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_consumption_factor,indirect_water_consumption_factor,annuity,resource_cost,capacity_total,capacity_added,annuity_total,annualized_capex,upfront_investment_costs,opex_fix_costs_total,variable_cost_moo,ghg_emissions,land_requirement_additional,land_requirement_total,water_consumption,indirect_water_consumption
dc-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,854.9091,0.0,1.0,0.0,0.92,647.0,19.0,12.5,,3.0,0.0,,94.04,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,,-0.0,0.0,0.0,
dc-elec-bus,in,inverter,electricity,conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,505.45456,,0.0,1.0,,0.94,350.0,15.0,12.5,0.0,0.15,0.0,,55.6,,,,,,,,,0.0,,,0.0,
dc-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,854.9091,0.0,1.0,0.0,0.92,647.0,19.0,12.5,,3.0,0.0,,94.04,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,,-0.0,0.0,0.0,
dc-elec-bus,out,photovoltaics,electricity,volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,537.36365,,0.0,1.0,,,500.0,20.0,25.0,0.0,9.0,0.0,,59.11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,
dc-elec-bus,out,wind-turbine,electricity,volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,2589.9092,,0.0,1.0,,,1865.0,139.0,25.0,0.0,2.5,0.0,,284.89,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,
diesel-bus,in,diesel-generator,energy,conversion,2.9640176,39.437873,67.166468,88.416412,99.134582,122.88297,147.74167,143.4857,142.08062,129.38064,138.67111,140.81871,143.22585,146.9235,152.1271,152.1271,132.62827,115.39495,125.20567,151.24974,152.1271,152.1271,152.1271,49.965722,,,2.9640176,152.1271,2887.4099746,0.0,1510.1818,,0.0,1.0,,0.35,817.0,82.0,15.0,0.7,0.3,0.0,,166.12,,,,,,,,,2021.186947799391,,,0.0,
diesel-bus,out,diesel,energy,dispatchable,2.9640176,39.437873,67.166468,88.416412,99.134582,122.88297,147.74167,143.4857,142.08062,129.38064,138.67111,140.81871,143.22585,146.9235,152.1271,152.1271,132.62827,115.39495,125.20567,151.24974,152.1271,152.1271,152.1271,49.965722,,152.1271,2.9640176,152.1271,2887.4099746,,0.0,,0.0,1.0,,,,,,0.7,0.0,0.0,0.0225,,0.2,152.1271,152.1271,0.0,,,,577.4820035251523,2021.186947799391,0.0,0.0,0.0,64.96672701004569
drinking-water-bus,in,drinking-water-demand,water,load,0.0,0.0,0.0,0.0,0.0,4.645833333,4.745830333,3.579185667,3.862518,0.0,4.187628,4.154288667,3.462524,0.0,0.0,0.0,0.050118,0.00012,0.0126,0.0126,0.0126,0.0126,0.0126,0.0,,,0.0,4.745830333,28.751046000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drinking-water-bus,in,drinking-water-storage,water,storage,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,0.0,0.0,0.0,0.0,1.4179352,0.0,0.0,0.0,1.4179352,0.41568518,0.63089383,1.3678172,1.4178152,1.4053352,1.4053352,0.26460662,0.0,1.2459697,1.4179352,,17.704568,0.0,1.4179352,19.49693973,,0.0,170.18182,0.0,1.0,0.0,0.98,186.0,2.5,20.0,,1.5,0.0,,18.72,0.0,17.704568,17.704568,3012.9956706000976,331.4295008032379,3293.0496479999997,44.261419999999994,0.0,,26.556852,26.556852,0.0,
drinking-water-bus,out,bottled-water,water,dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.8,0.0,1.0,4.0,,62.2,,,,,,,0.0,0.0,,,0.0,0.0
drinking-water-bus,out,drinking-water-storage,water,storage,0.0,0.0,0.0,0.0,0.0,3.2278981,3.3278951,2.1612504,2.4445828,0.0,2.7696928,2.7363534,2.0445888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,,17.704568,0.0,3.3278951,18.724861399999998,,0.0,170.18182,0.0,1.0,0.0,0.98,186.0,2.5,20.0,,1.5,0.0,,18.72,0.0,17.704568,17.704568,3012.9956706000976,331.4295008032379,3293.0496479999997,44.261419999999994,0.0,,26.556852,26.556852,0.0,
drinking-water-bus,out,seawater-reverse-osmosis,water,ro,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,0.41568518,0.63089383,1.4179352,1.4179352,1.4179352,1.4179352,0.27720662,-0.0,1.2585697,1.4179352,,,-0.0,1.4179352,29.52312413,0.0,2398.5454,,0.0,1.0,,,559.6,198.93,12.5,0.0,0.15,1.0,,263.84,0.0,,,,,,,0.0,0.0,,,29.52312413,
drinking-water-bus,out,water pump,water,water-pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,136.36363,,0.0,0.0,,0.9,0.0,15.0,20.0,0.2,2.0,0.0,,15.0,0.0,,,,,,,0.0,0.0,,,0.0,
drinking-water-bus,out,water-filtration-system,water,water-filtration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,261.0909,,0.0,1.0,,,100.0,20.0,20.0,0.045,0.1,0.0,,28.72,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,
groundwater-bus,in,water pump,water,water-pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,136.36363,,0.0,0.0,,0.9,0.0,15.0,20.0,0.2,2.0,0.0,,15.0,0.0,,,,,,,0.0,0.0,,,0.0,
groundwater-bus,out,groundwater,water,dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,-0.0,-0.0,,,,0.0,0.0,-0.0,0.0,0.0,0.0
precipitation-bus,out,precipitation,water,dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,-0.0,-0.0,,,,0.0,0.0,-0.0,0.0,0.0,0.0
river-flow-bus,in,run-of-river-hydropower,water,hydropower,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,,,3600.0,3600.0,86400.0,0.0,5360.1816,,0.0,1.0,,0.9,3306.0,331.0,25.0,0.0,0.4,0.5,,589.62,0.0,,,,,,,0.0,0.0,,,43200.0,
river-flow-bus,out,river-flow,water,volatile,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,,,3600.0,3600.0,86400.0,,0.0,,1.0,0.0,,,0.0,0.0,1000.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,
seawater-bus,in,seawater-reverse-osmosis,water,ro,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,0.83137035,1.2617877,2.8358705,2.8358705,2.8358705,2.8358705,0.55441324,-0.0,2.5171394,2.8358705,,2.8358705,-0.0,2.8358705,59.046250189999995,0.0,2398.5454,,0.0,1.0,,,559.6,198.93,12.5,0.0,0.15,1.0,,263.84,0.0,2.8358705,2.8358705,6801.964171572509,748.2160623347321,1586.9530625648804,564.1396977944642,0.0,0.0,0.4253805919031054,0.4253805919031054,59.046250189999995,
seawater-bus,out,seawater-source,water,dispatchable,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,2.8358705,0.83137035,1.2617877,2.8358705,2.8358705,2.8358705,2.8358705,0.55441324,0.0,2.5171394,2.8358705,,2.8358705,0.0,2.8358705,59.046250189999995,,0.0,,0.0,1.0,,,,,,0.0,0.0,1.0,1.0,,0.0,2.8358705,2.8358705,0.0,,,,0.0,0.0,0.0,0.0,59.046250189999995,59.046250189999995
service-water-bus,in,service-water-demand,water,load,0.0,0.0,0.0,0.0,0.0,4.645833333,4.745830333,3.579185667,3.862518,0.0,4.187628,4.154288667,3.462524,0.0,0.0,0.0,0.050118,0.00012,0.0126,0.0126,0.0126,0.0126,0.0126,0.0,,,0.0,4.745830333,28.751046000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service-water-bus,in,service-water-storage,water,storage,2.8506747,0.54128521,0.15476508,1.6714969,0.61539504,0.0,0.0,0.0,0.0,0.69347968,0.0,0.0,0.0,2.3054184,1.3644618,0.75832625,0.31527858,0.3902919,0.54059457,0.42810301,0.54191574,1.836235,3.0114455,2.113521,,19.050424,0.0,3.0114455,20.13268836,,0.0,306.0,0.0,1.0,0.0,0.98,300.0,7.5,20.0,,1.7,0.0,,33.66,0.0,19.050424,19.050424,5829.429744,641.237268933136,5715.1272,142.87818,0.0,,32.385721708395,32.385721708395,0.0,
service-water-bus,in,water-filtration-system,water,water-filtration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,261.0909,,0.0,1.0,,,100.0,20.0,20.0,0.045,0.1,0.0,,28.72,0.0,,,,,,,0.0,0.0,,,0.0,
service-water-bus,out,rainwater-harvesting,water,volatile,2.8506747,0.54128521,0.15476508,1.6714969,0.61539504,0.13098411,0.44070301,0.49893242,1.4147491,0.69347968,1.3287262,2.1439644,3.3443149,2.3054184,1.3644618,0.75832625,0.36539658,0.3904119,0.55319457,0.44070301,0.55451574,1.848835,3.0240455,2.113521,,3774.7581,0.13098411,3.3443149,29.548300500000003,,74.818184,,0.0,1.0,,,60.0,3.0,20.0,0.0,1.3,1.0,,8.23,0.0,3774.7581,3774.7581,282420.5456997597,31066.25743505287,226485.486,11324.274300000001,0.0,0.0,4907.185350005508,4907.185350005508,29.548300500000003,
service-water-bus,out,service-water-storage,water,storage,0.0,0.0,0.0,0.0,0.0,4.5148492,4.3051273,3.0802532,2.4477689,0.0,2.8589018,2.0103242,0.11820913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.050424,0.0,4.5148492,19.33543373,,0.0,306.0,0.0,1.0,0.0,0.98,300.0,7.5,20.0,,1.7,0.0,,33.66,0.0,19.050424,19.050424,5829.429744,641.237268933136,5715.1272,142.87818,0.0,,32.385721708395,32.385721708395,0.0,
solar-bus,out,solar-resource,energy,dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0,-0.0,,,,0.0,0.0,-0.0,0.0,0.0,0.0
wind-bus,out,wind-resource,energy,dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0,-0.0,,,,0.0,0.0,-0.0,0.0,0.0,0.0
